player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Tony DeAngelo,NYI,1,0,1,0,0,0,0,,20252026
Marco Rossi,VAN,0,0,2,0,0,5,0,0.0,20252026
Linus Karlsson,VAN,0,1,0,0,0,2,0,0.0,20252026
Jake Guentzel,TBL,0,0,2,1,8,13,2,38.095238095238095,20252026
Bradly Nadeau,CAR,0,0,1,0,0,0,1,,20252026
Darren Raddysh,TBL,4,0,2,0,0,0,0,,20252026
Nikita Kucherov,TBL,0,0,9,0,0,0,0,,20252026
Boone Jenner,CBJ,0,0,0,0,1,1,0,50.0,20252026
Stephen Halliday,OTT,0,0,3,0,0,1,0,0.0,20252026
Brady Tkachuk,OTT,0,0,2,1,11,11,0,50.0,20252026
Cody Glass,NJD,0,0,0,0,5,2,0,71.42857142857143,20252026
Kaapo Kakko,SEA,0,0,1,0,3,1,0,75.0,20252026
Ryker Evans,SEA,0,0,1,0,0,0,0,,20252026
Ivan Demidov,MTL,0,0,3,0,0,0,0,,20252026
Phillip Danault,MTL,0,0,0,0,3,4,0,42.857142857142854,20252026
Luke Kunin,FLA,0,0,0,0,0,2,0,0.0,20252026
Joel Armia,LAK,0,0,1,0,0,0,0,,20252026
Brandt Clarke,LAK,2,0,1,0,0,0,0,,20252026
Jake Neighbours,STL,0,0,2,0,0,0,0,,20252026
Yegor Sharangovich,CGY,1,0,0,0,0,1,0,0.0,20252026
John Klingberg,SJS,1,0,0,0,0,0,0,,20252026
Ty Dellandrea,SJS,0,0,0,0,0,1,0,0.0,20252026
Rickard Rakell,PIT,0,0,0,3,3,3,0,50.0,20252026
Nick Paul,TBL,0,0,0,1,10,6,0,62.5,20252026
Matt Duchene,DAL,0,0,1,0,3,3,0,50.0,20252026
Matt Savoie,EDM,0,1,1,0,0,1,0,0.0,20252026
Noah Dobson,MTL,3,0,3,0,0,0,0,,20252026
Dmitri Voronkov,CBJ,0,0,1,0,0,1,0,0.0,20252026
Kent Johnson,CBJ,0,0,0,0,0,0,1,,20252026
Ukko-Pekka Luukkonen,BUF,0,0,1,0,0,0,0,,20252026
Drew O'Connor,VAN,0,0,0,1,3,1,0,75.0,20252026
Dawson Mercer,NJD,0,0,0,0,0,1,1,0.0,20252026
David Kampf,VAN,0,0,0,0,0,1,0,0.0,20252026
Max Sasson,VAN,0,0,0,0,2,2,0,50.0,20252026
Zeev Buium,VAN,0,0,2,0,0,0,0,,20252026
Rasmus Ristolainen,PHI,1,0,1,0,0,0,0,,20252026
Owen Tippett,PHI,1,1,2,0,0,0,0,,20252026
Denver Barkey,PHI,0,0,1,0,0,1,0,0.0,20252026
Joonas Korpisalo,BOS,0,0,1,0,0,0,0,,20252026
Vladislav Gavrikov,NYR,0,0,1,1,0,0,0,,20252026
Gabe Perreault,NYR,0,0,1,0,0,0,0,,20252026
Jared McCann,SEA,1,1,1,0,0,0,0,,20252026
Berkly Catton,SEA,0,0,1,0,0,0,0,,20252026
Jonatan Berggren,STL,0,0,1,0,0,0,0,,20252026
Jordan Kyrou,STL,0,1,0,1,0,0,0,,20252026
Tim Washe,ANA,0,0,0,0,3,0,0,100.0,20252026
Jason Robertson,DAL,0,0,1,0,0,0,1,,20252026
Garnet Hathaway,PHI,0,0,0,0,0,0,1,,20252026
Rodrigo Abols,PHI,0,0,0,0,0,1,0,0.0,20252026
Lane Hutson,MTL,4,1,2,0,0,0,2,,20252026
Uvis Balinskis,FLA,0,1,1,0,0,0,0,,20252026
Sandis Vilmanis,FLA,0,0,1,0,0,0,0,,20252026
Taylor Ward,LAK,0,0,1,1,0,0,0,,20252026
Alex Turcotte,LAK,0,0,0,0,1,0,0,100.0,20252026
Samuel Helenius,LAK,0,0,0,0,0,1,0,0.0,20252026
Mats Zuccarello,MIN,0,0,1,0,2,1,0,66.66666666666666,20252026
Hunter Haight,MIN,0,0,0,0,1,0,0,100.0,20252026
Drew Doughty,LAK,1,0,0,2,0,0,0,,20252026
Justin Hryckowian,DAL,0,0,0,0,2,1,0,66.66666666666666,20252026
Matthew Wood,NSH,0,0,0,0,1,3,0,25.0,20252026
Ross Colton,COL,0,0,0,0,1,0,0,100.0,20252026
Tanner Laczynski,VGK,0,0,0,0,2,2,0,50.0,20252026
Jake Evans,MTL,0,0,0,0,1,0,0,100.0,20252026
Brendan Gallagher,MTL,1,1,1,0,0,0,0,,20252026
Jaden Schwartz,SEA,0,0,0,0,1,1,0,50.0,20252026
Max Shabanov,NYI,1,0,0,0,0,0,0,,20252026
Pavel Mintyukov,ANA,1,0,2,1,0,0,0,,20252026
Matthew Poitras,BOS,1,0,0,0,1,0,0,100.0,20252026
Cam York,PHI,1,0,0,0,0,0,0,,20252026
Trevor Moore,LAK,0,0,0,1,0,0,0,,20252026
Kevin Stenlund,UTA,0,0,0,0,0,3,0,0.0,20252026
Filip Chytil,VAN,0,0,0,0,3,0,0,100.0,20252026
Teddy Blueger,VAN,0,0,0,0,1,0,0,100.0,20252026
Liam Ohgren,VAN,1,0,0,0,0,0,0,,20252026
Justin Sourdif,WSH,0,0,0,0,1,2,0,33.33333333333333,20252026
Brandon Hagel,TBL,0,1,0,0,0,1,2,0.0,20252026
Andrei Vasilevskiy,TBL,0,0,0,0,0,0,2,,20252026
Yanni Gourde,TBL,0,0,0,0,2,4,0,33.33333333333333,20252026
Matthew Tkachuk,FLA,1,1,2,0,0,0,0,,20252026
Jack Finley,TBL,0,0,0,0,1,0,0,100.0,20252026
