player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Jared McCann,SEA,0,1,2,1,2,0,0,100.0,20212022
Joonas Donskoi,SEA,0,0,1,0,0,0,1,,20212022
Ryan Strome,NYR,0,1,3,0,4,2,1,66.66666666666666,20212022
Filip Chytil,NYR,0,1,0,1,1,0,0,100.0,20212022
Nils Lundkvist,NYR,0,0,1,0,0,0,0,,20212022
Cole Caufield,MTL,0,0,0,2,0,0,0,,20212022
Cam Atkinson,PHI,0,0,2,0,0,0,0,,20212022
Brendan Smith,CAR,0,0,0,0,0,0,4,,20212022
Morgan Frost,PHI,0,0,0,0,2,3,0,40.0,20212022
Austin Watson,OTT,0,0,0,0,0,0,2,,20212022
Connor Brown,OTT,0,1,4,0,0,1,0,0.0,20212022
Tyler Ennis,OTT,0,1,3,1,1,1,0,50.0,20212022
Nick Paul,OTT,0,1,0,0,2,3,0,40.0,20212022
Dylan Larkin,DET,0,0,1,0,15,16,1,48.38709677419355,20212022
Tanner Pearson,VAN,0,0,0,0,2,2,0,50.0,20212022
Dmitry Orlov,WSH,0,1,0,0,0,0,0,,20212022
Lars Eller,WSH,0,0,0,0,4,5,0,44.44444444444444,20212022
Vladislav Namestnikov,DET,0,0,0,0,0,0,3,,20212022
Lucas Raymond,DET,0,0,3,1,0,0,0,,20212022
Jason Robertson,DAL,0,1,2,0,0,0,0,,20212022
Adrian Kempe,LAK,0,0,3,1,0,0,1,,20212022
Mark Stone,VGK,0,0,1,0,0,0,0,,20212022
Sam Bennett,FLA,0,1,2,1,8,2,0,80.0,20212022
Carter Verhaeghe,FLA,0,0,0,0,1,0,0,100.0,20212022
Patric Hornqvist,FLA,0,0,0,0,0,0,2,,20212022
Spencer Knight,FLA,0,0,1,0,0,0,0,,20212022
Owen Tippett,FLA,0,1,0,0,0,0,0,,20212022
Victor Olofsson,BUF,0,0,3,2,0,0,0,,20212022
Luke Kunin,NSH,0,0,0,0,1,1,0,50.0,20212022
Blake Coleman,CGY,0,0,1,1,0,0,1,,20212022
Patrick Maroon,TBL,0,0,1,0,1,0,1,100.0,20212022
T.J. Oshie,WSH,0,0,0,2,8,9,1,47.05882352941176,20212022
Simon Benoit,ANA,0,0,0,0,0,0,2,,20212022
Mark Scheifele,WPG,0,0,0,2,9,8,0,52.94117647058824,20212022
Josh Morrissey,WPG,3,0,0,0,0,0,1,,20212022
Nikolaj Ehlers,WPG,1,1,0,3,0,0,0,,20212022
Nate Schmidt,WPG,1,1,0,0,0,0,0,,20212022
Jansen Harkins,WPG,0,1,0,0,0,0,1,,20212022
Vasily Podkolzin,VAN,0,1,1,0,0,0,1,,20212022
Tyson Barrie,EDM,1,0,2,0,0,0,0,,20212022
Darnell Nurse,EDM,0,0,0,1,0,0,0,,20212022
John Hayden,BUF,0,0,0,0,0,0,4,,20212022
Alex Ovechkin,WSH,0,2,2,1,0,0,0,,20212022
Andrew Mangiapane,CGY,0,0,1,1,0,0,0,,20212022
William Karlsson,VGK,0,0,2,0,9,5,0,64.28571428571429,20212022
John Moore,BOS,1,0,0,1,0,0,0,,20212022
Kirill Kaprizov,MIN,0,0,1,1,0,0,0,,20212022
Ryan Donato,SEA,0,0,0,0,2,0,0,100.0,20212022
Jordan Eberle,SEA,0,0,0,1,0,0,0,,20212022
Jaden Schwartz,SEA,0,0,1,0,0,0,1,,20212022
Jack Studnicka,BOS,0,0,1,0,0,0,0,,20212022
Jean-Gabriel Pageau,NYI,0,0,2,0,12,7,1,63.1578947368421,20212022
Josh Bailey,NYI,0,0,1,0,4,0,0,100.0,20212022
Noah Dobson,NYI,1,1,3,0,0,0,0,,20212022
Jesper Fast,CAR,0,1,1,0,0,0,0,,20212022
Adam Erne,DET,0,0,0,0,0,3,1,0.0,20212022
Filip Zadina,DET,0,0,1,0,0,1,0,0.0,20212022
Tyler Bertuzzi,DET,0,1,2,0,0,1,0,0.0,20212022
Moritz Seider,DET,0,1,1,3,0,0,0,,20212022
