player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
Pius Suter,VAN,20242025,176.6,C,13.1,19.5,8.103057757644393,3.3975084937712343,0.3397508493771234,0.0,0.3397508493771234,0.3397508493771234,93,6.4
Philip Broberg,STL,20242025,91.883333333333,D,13.0,5.7,7.502992925811744,9.795029929258153,0.0,0.0,0.0,0.0,94,-7.3
Reilly Smith,"NYR, VGK",20242025,131.0,R,12.9,17.0,7.749618320610688,4.580152671755726,0.4580152671755725,0.0,1.83206106870229,0.916030534351145,95,4.1
Mikael Pyyhtia,CBJ,20242025,65.433333333333,L,12.8,12.8,6.794701986755002,7.335710646968963,0.0,0.0,0.0,0.9169638308711204,96,0.0
Rasmus Ristolainen,PHI,20242025,111.13333333333,D,12.8,6.4,6.678464307138772,7.558488302339758,0.0,0.0,0.0,0.0,97,-6.4
Drew O'Connor,"PIT, VAN",20242025,117.85,L,12.8,9.3,7.356809503606279,8.145948239287229,0.0,0.5091217649554518,0.0,0.0,98,-3.5
Jesper Bratt,N.J,20242025,122.86666666667,L,12.8,13.3,7.696147585458283,4.883342376559824,0.0,0.0,0.9766684753119648,0.4883342376559824,99,0.5
Joel Kiviranta,COL,20242025,110.71666666667,L,12.7,15.4,8.172211350293296,5.4192382959504615,0.0,0.0,0.0,0.5419238295950461,100,2.700000000000001
J.J. Moser,T.B,20242025,85.733333333333,D,12.6,16.9,7.306376360808738,4.89891135303268,0.0,0.0,0.0,0.6998444790046685,101,4.299999999999999
Colton Sissons,NSH,20242025,144.26666666667,C,12.4,14.3,8.355360443622727,6.238447319778045,0.0,0.0,0.0,0.0,102,1.9000000000000004
Owen Power,BUF,20242025,110.6,D,12.4,14.1,6.016274864376131,5.424954792043399,0.5424954792043399,0.5424954792043399,1.62748643761302,0.0,103,1.6999999999999993
Jacob Trouba,"ANA, NYR",20242025,183.1,D,12.4,13.6,8.146368104860732,6.226105953031131,0.3276897870016385,0.0,0.655379574003277,0.0,104,1.1999999999999993
Matt Roy,WSH,20242025,116.0,D,12.1,13.5,6.806896551724138,5.172413793103448,0.0,0.0,0.0,0.0,105,1.4000000000000004
Kevin Rooney,CGY,20242025,127.73333333333,C,12.1,7.7,7.163361169102484,8.455114822547193,0.0,0.0,0.0,0.0,106,-4.3999999999999995
Adam Fox,NYR,20242025,143.93333333333,D,12.1,5.5,8.578971746178983,9.17091245947219,0.4168596572487358,0.4168596572487358,0.0,0.0,107,-6.6
Oskar Sundqvist,STL,20242025,61.383333333333,C,11.9,3.7,7.106163453706256,8.797176215042134,0.0,0.9774640238935705,0.0,0.0,108,-8.2
Marat Khusnutdinov,"BOS, MIN",20242025,85.016666666667,C,11.9,-3.8,6.182317192707288,11.291903548323813,0.0,0.7057439717702383,2.117231915310715,0.0,109,-15.7
William Eklund,S.J,20242025,90.7,L,11.9,5.8,8.712238147739802,10.584343991179711,0.6615214994487321,0.0,1.323042998897464,0.6615214994487321,110,-6.1000000000000005
Nikita Zadorov,BOS,20242025,164.36666666667,D,11.8,5.8,7.289799229365092,8.760900425876926,0.0,0.0,0.0,0.0,111,-6.000000000000001
Zemgus Girgensons,T.B,20242025,124.78333333333,C,11.8,10.6,6.933618271671081,7.693335114198148,0.0,0.0,0.0,0.0,112,-1.200000000000001
Luke Glendening,T.B,20242025,126.4,C,11.8,9.5,6.878164556962025,8.069620253164556,0.0,0.0,0.0,0.4746835443037974,113,-2.3000000000000007
Alexey Toropchenko,STL,20242025,91.633333333333,R,11.7,5.8,7.366315023644989,8.51218624954532,0.0,0.0,0.0,0.0,114,-5.8999999999999995
Nico Sturm,"FLA, S.J",20242025,74.85,C,11.7,3.8,8.721442885771543,9.619238476953909,0.0,0.0,0.0,0.8016032064128257,115,-7.8999999999999995
Nicolas Hague,VGK,20242025,65.083333333333,D,11.6,9.1,8.029705505761886,7.375160051216427,0.0,0.0,0.0,0.0,116,-2.5
