player,birth_date
Wyatt Kaiser,2002-07-31
Owen Power,2002-11-22
Jonathan Huberdeau,1993-06-04
Trevor Lewis,2006-02-28
Matt Nieto,1994-05-25
Phillip Danault,1993-02-24
Matt Dumba,1994-05-25
Aleksander Barkov,1995-09-02
Ty Emberson,2000-05-23
Aliaksei Protas,2001-01-06
Gustav Nyquist,1989-09-01
Zemgus Girgensons,1994-01-05
Evan Bouchard,1999-10-20
Nick Bonino,2000-05-29
Nico Sturm,1995-05-03
Brad Marchand,1988-05-11
Brett Kulak,1994-01-06
Neal Pionk,1995-07-29
Zach Bogosian,1990-07-15
Brock Nelson,1991-10-15
Dante Fabbro,1998-06-20
Mathieu Joseph,1997-02-09
Pavel Zacha,1997-04-06
Riley Sheahan,2002-08-17
Elias Pettersson,2004-02-16
Dylan Larkin,1996-07-30
Nick Blankenburg,1998-05-12
Alexandre Texier,1999-09-13
Artturi Lehkonen,1995-07-04
Erik Karlsson,1990-05-31
Marcus Foligno,1991-08-10
Kaiden Guhle,2002-01-18
Pavel Buchnevich,1997-04-06
Ryan Greene,2003-10-21
Mark Pysyk,1994-09-13
Jimmy Vesey,2007-02-16
Conor Sheary,1992-06-08
Trevor Moore,1995-03-31
Logan Stanley,1998-05-26
Alex Laferriere,2001-10-28
Frederic Gaudreau,1998-02-11
Zach Hyman,1992-06-09
Michael Rasmussen,1999-04-17
Morgan Rielly,1994-03-09
Matt Savoie,2004-01-01
Drew O'Connor,1998-06-09
Chad Ruhwedel,
Jon Merrill,2005-11-04
Reilly Smith,1991-04-01
Carson Soucy,1997-08-18
Michael Raffl,1999-06-09
Nick Suzuki,1999-08-10
Sean Monahan,1994-10-12
Tyson Jost,1998-03-14
Bo Horvat,1995-04-05
Jesper Fast,1998-07-30
Blake Lizotte,1997-12-13
Oliver Kapanen,2003-07-29
Chris Kreider,1991-04-30
Derek Ryan,1992-03-04
Zach Werenski,1997-07-19
Urho Vaakanainen,1999-01-01
Bryan Rust,1992-05-11
Adrian Kempe,1996-09-13
Dylan Gambrell,2004-05-19
Kevin Rooney,2006-04-30
Olli Maatta,1994-08-22
Mattias Janmark,1992-12-08
William Karlsson,1993-01-08
Matt Boldy,2001-04-05
Nicolas Hague,1998-12-05
Fraser Minten,2004-07-05
Ryan Carpenter,1995-05-21
Tomas Hertl,1993-11-12
Danny DeKeyser,2005-08-03
Cam Atkinson,1997-01-21
Travis Dermott,1990-08-16
Darren Helm,1996-02-28
Will Cuylle,2006-04-04
Mason Appleton,1996-01-15
Jack Eichel,1996-10-28
Warren Foegele,1996-04-01
Jack Roslovic,1997-01-29
Jake DeBrusk,2005-03-27
Jesper Bratt,1998-07-30
Dylan Cozens,2001-02-09
Valeri Nichushkin,1995-03-04
Patrice Bergeron,
Josh Norris,1999-05-05
Jared McCann,1996-05-31
Garnet Hathaway,1991-11-23
Simon Edvinsson,2003-02-05
Robert Hagg,2006-06-08
Nick Schmaltz,1996-02-23
Calle Jarnkrok,1991-09-25
Zdeno Chara,
Brian Boyle,1991-09-06
Henri Jokiharju,1999-06-17
Wyatt Johnston,2003-05-14
Travis Konecny,1997-03-11
Alec Martinez,
Luke Schenn,1989-11-02
Sam Lafferty,1995-03-06
Jake Muzzin,2005-03-27
John Beecher,2001-04-05
Samuel Girard,1998-05-12
